"id_cliente","id_origem_comercial","id_usuario_cadastro","id_escolaridade","id_estado_civil","id_profissao","id_ocupacao","id_moradia","nm_cliente","dt_cadastro","dt_nascimento","fl_sexo","ds_email","nm_cidade_natal","cd_uf_natal","nm_cidade","cd_uf","fl_titularidade","fl_tipo_pessoa","fl_status_analise","fl_status_conta"
19401,20,95,3,6,31,10,4,CLIENTE NUMERO 19401,2021-01-31 11:25:32.000,1981-10-30,M,emailcliente19401@hotmail.com,PARANAPUA ,SP,BURITAMA ,SP,T,F,A,A
19442,26,79,3,8,42,9,5,CLIENTE NUMERO 19442,2021-10-30 08:13:19.000,1966-08-22,F,emailcliente19442@hotmail.com,GOIO ERE,PR,BIRIGUI,SP,T,F,A,A
19447,32,74,4,3,26,3,3,CLIENTE NUMERO 19447,2021-01-22 08:23:37.000,1992-06-23,F,emailcliente19447@hotmail.com,JOSE BONIFACIO,SP,BIRIGUI,SP,T,F,A,B
19503,12,2,2,7,80,11,3,CLIENTE NUMERO 19503,2023-02-01 11:28:01.000,1974-06-28,M,emailcliente19503@hotmail.com,CENTENARIO DO SUL,PR,BIRIGUI,SP,T,F,A,B
19510,40,96,4,6,23,3,1,CLIENTE NUMERO 19510,2022-12-12 19:25:27.000,1992-09-27,M,emailcliente19510@hotmail.com,BIRIGUI,SP,COROADOS,SP,T,F,A,A
19518,47,95,4,4,97,11,3,CLIENTE NUMERO 19518,2021-11-21 10:00:33.000,1989-12-24,M,emailcliente19518@hotmail.com,BURITAMA,SP,BURITAMA,SP,T,F,A,B
19598,30,95,3,4,2,7,2,CLIENTE NUMERO 19598,2021-12-22 20:57:48.000,1964-04-25,F,emailcliente19598@hotmail.com,GUAIMBE,SP,BIRIGUI,SP,T,F,A,B
19603,59,63,3,2,21,1,6,CLIENTE NUMERO 19603,2021-02-15 16:13:28.000,1978-11-17,F,emailcliente19603@hotmail.com,NOVA OLIMPIA ,PR,BIRIGUI,SP,T,F,A,A
19628,70,55,1,6,90,4,6,CLIENTE NUMERO 19628,2022-07-27 10:57:35.000,1985-10-25,M,emailcliente19628@hotmail.com,ITAQUIRAI,MS,BALSAMO,SP,T,F,A,B
19651,1,94,1,7,79,8,5,CLIENTE NUMERO 19651,2022-01-05 18:23:35.000,1988-03-16,F,emailcliente19651@hotmail.com,JATI,CE,BIRIGUI,SP,T,F,A,B
19652,65,86,4,5,15,2,4,CLIENTE NUMERO 19652,2021-10-29 14:42:30.000,1966-11-18,F,emailcliente19652@hotmail.com,BIRIGUI,SP,COROADOS,SP,T,F,A,B
19680,3,98,4,3,60,1,4,CLIENTE NUMERO 19680,2021-05-25 17:34:31.000,1996-12-23,F,emailcliente19680@hotmail.com,MAUA,SP,BIRIGUI,SP,T,F,A,B
19715,16,88,3,8,81,3,1,CLIENTE NUMERO 19715,2022-04-02 09:57:44.000,1981-03-31,M,emailcliente19715@hotmail.com,CAPAO BONITO,SP,BURITAMA,SP,T,F,A,B
19775,79,34,2,8,93,6,1,CLIENTE NUMERO 19775,2022-04-05 08:59:24.000,1987-01-23,F,emailcliente19775@hotmail.com,SAO PAULO,SP,BIRIGUI,SP,T,F,A,A
19837,70,44,1,6,53,11,1,CLIENTE NUMERO 19837,2021-09-24 17:52:35.000,1968-08-08,M,emailcliente19837@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,A
19866,76,78,4,2,3,11,1,CLIENTE NUMERO 19866,2021-05-20 16:59:28.000,1998-04-24,F,emailcliente19866@hotmail.com,BIRIGUI ,SP,BIRIGUI,SP,T,F,A,B
19900,12,11,2,1,25,7,6,CLIENTE NUMERO 19900,2021-11-28 09:36:04.000,1984-01-02,M,emailcliente19900@hotmail.com,BASTOS,SP,BIRIGUI,SP,T,F,A,B
19972,71,40,1,5,5,2,4,CLIENTE NUMERO 19972,2021-06-24 18:37:52.000,1958-03-05,M,emailcliente19972@hotmail.com,GLICERIO,SP,BIRIGUI,SP,T,F,A,A
20046,73,30,3,7,61,9,5,CLIENTE NUMERO 20046,2021-07-27 09:34:13.000,1973-05-31,M,emailcliente20046@hotmail.com,BIRIGUI,SP,COROADOS,SP,T,F,A,A
20120,48,89,2,3,84,5,3,CLIENTE NUMERO 20120,2022-04-23 12:57:26.000,1985-01-13,F,emailcliente20120@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,A
20131,90,57,4,8,40,5,5,CLIENTE NUMERO 20131,2022-12-30 14:55:59.000,1978-07-01,M,emailcliente20131@hotmail.com,SAO PAULO,SP,BIRIGUI,SP,T,F,A,A
20145,57,1,4,5,99,2,2,CLIENTE NUMERO 20145,2021-03-02 11:01:21.000,1974-12-07,M,emailcliente20145@hotmail.com,LINS,SP,BIRIGUI,SP,T,F,A,A
20212,48,39,1,2,26,10,4,CLIENTE NUMERO 20212,2021-07-19 18:13:36.000,1986-07-01,M,emailcliente20212@hotmail.com,JARU,RO,BIRIGUI,SP,T,F,A,B
20261,36,57,4,5,86,6,3,CLIENTE NUMERO 20261,2021-07-13 20:27:00.000,1986-05-02,M,emailcliente20261@hotmail.com,FRANCISCO MORATO,SP,BIRIGUI,SP,T,F,A,B
20274,89,68,2,2,20,10,4,CLIENTE NUMERO 20274,2022-03-31 18:12:03.000,1988-04-10,M,emailcliente20274@hotmail.com,ARACATUBA,SP,BIRIGUI,SP,T,F,A,B
20321,77,45,2,5,19,5,2,CLIENTE NUMERO 20321,2021-06-14 17:48:58.000,1986-04-23,F,emailcliente20321@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
20341,23,84,1,1,20,11,5,CLIENTE NUMERO 20341,2021-05-27 19:10:56.000,1973-08-03,M,emailcliente20341@hotmail.com,GABRIEL MONTEIRO,SP,BIRIGUI,SP,T,F,A,B
20370,14,30,4,2,102,4,3,CLIENTE NUMERO 20370,2022-10-22 14:27:54.000,1990-06-26,F,emailcliente20370@hotmail.com,BIRIGUI,,BIRIGUI,SP,T,F,A,B
20395,38,48,2,3,14,2,5,CLIENTE NUMERO 20395,2022-01-25 17:37:54.000,1971-11-08,F,emailcliente20395@hotmail.com,FORESTOPOLIS,PR,BIRIGUI,SP,T,F,A,A
20430,19,71,1,6,65,7,1,CLIENTE NUMERO 20430,2021-07-05 19:09:17.000,1964-10-18,M,emailcliente20430@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
20443,57,64,3,4,72,8,3,CLIENTE NUMERO 20443,2022-02-22 17:48:21.000,1977-02-04,F,emailcliente20443@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,B
20483,75,85,1,8,88,5,1,CLIENTE NUMERO 20483,2021-09-18 13:36:26.000,1975-10-20,F,emailcliente20483@hotmail.com,BIRIGUI,SP,BIRIGUI,SP,T,F,A,A
